method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
robust_subspace_clustering,gaussian_rotated,5,1000,0.05,9,0.0004989348401307955,33.48505616188049,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,0,0.0005492839707096828,44.457563161849976,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,1,0.0005698894754528871,42.70325708389282,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,2,0.0006586624813127699,42.29359483718872,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,3,0.0006816856265154937,53.439464807510376,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,4,0.00043528978151237375,47.61322808265686,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,5,0.0006618951126104594,40.14662194252014,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,6,0.0006476096457205634,49.943382024765015,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,7,0.0005707775248705455,65.69114589691162,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,8,0.00042608219573110254,42.48530888557434,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,10,1000,0.05,9,0.0006123492863585251,46.47434592247009,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,0,0.0006295449019239343,59.91522002220154,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,1,0.001004244775929998,539.3384802341461,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,2,0.0008208528663871953,282.0378489494324,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,3,0.0007477374480431558,63.16673994064331,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,4,0.0010503768245832316,2010.7719118595123,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,5,0.0008882205200437516,60.664960622787476,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,6,0.0008185211682197298,84.21399760246277,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,7,0.0007968228601628702,2087.113831758499,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,8,0.0007357476674012398,989.9503979682922,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,15,1000,0.05,9,0.0008079734691145585,68.55836796760559,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,0,0.0013569343407266734,3038.8712618350983,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,1,0.0013123595465724905,101.71853399276733,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,2,0.001350738000511804,5959.954031944275,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,3,0.0014505884280699777,124.37872004508972,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,4,0.001355698952505334,104.92264604568481,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,5,0.06314497343388108,112.67403793334961,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,6,0.0013381759720754941,89.53181791305542,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,7,0.001454144849435312,84.74700999259949,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,8,0.001389727245983961,99.37342834472656,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,25,1000,0.05,9,0.0014060484446220367,1119.7424490451813,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,0,0.038057451971471666,1279.4559433460236,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,1,0.0030751932882746706,2559.8607449531555,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,2,0.03425609081046827,1273.7082550525665,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,3,0.0028572779759983733,257.47657799720764,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,4,0.033937982779784936,272.4421169757843,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,5,0.036867121898757196,274.00240421295166,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,6,0.0030265889702359426,190.44708895683289,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,7,0.03082912808505057,215.07810831069946,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,8,0.03847781594568093,221.0664451122284,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,50,1000,0.05,9,0.03944162047458397,267.09918904304504,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
pca_varimax,gaussian_rotated,2,1000,0.05,0,0.0026443850903865402,0.017693042755126953,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,1,0.002558047298975779,0.01572585105895996,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,2,0.002837609729615555,0.0016512870788574219,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,3,0.012710977419041057,0.0023021697998046875,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,4,0.0022433204088435797,0.0015070438385009766,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,5,0.003743141173993142,0.0014810562133789062,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,6,2.5889730343619887e-05,0.001600027084350586,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,7,0.1166877088035411,0.0014882087707519531,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,8,0.00017491342143370592,0.0014600753784179688,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,2,1000,0.05,9,0.54422024820811,0.0015590190887451172,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,0,0.5011837949114182,0.0018367767333984375,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,1,0.38492315264365956,0.0017290115356445312,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,2,0.6383884685063582,0.0019040107727050781,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,3,0.5382684533919746,0.001750946044921875,True,N/A,,,,R stats::varimax
